Category Link,Series Link,Class Link,Series Title,Class Title,HLS URL,Categories
no link,no link,https://ondemand.animalflow.com/assets/af-12132021-lionsgate-day-1-class-2-v1,No Series Title,AF Deconstructed: Class #1,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d1bf02242b804f0c942c5deabcc823f0/hls.m3u8,AF DECONSTRUCTED|CLASSES|AF Deconstructed Classes
no link,no link,https://ondemand.animalflow.com/assets/af-12132021-lionsgate-day-1-class-3-v3,No Series Title,AF Deconstructed Class 2,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/936ce3db698e4cc09711c84a81121723/hls.m3u8,AF DECONSTRUCTED|AF Deconstructed Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/81621_lofthouse_-_freyja_class_-_v1,No Series Title,AF Deconstructed Class #3,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/dc70373134294af3bf9a1dbce11dac8c/hls.m3u8,AF DECONSTRUCTED|AF Deconstructed Classes|CLASSES
no link,no link,https://ondemand.animalflow.com/assets/sample-class-youtube-beginner,No Series Title,Anima Flow - Free Sample Class (Beginner/ Entry Level),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ae1a8dcbbaad43feb134b85f91a6597d/hls.m3u8,
no link,no link,https://ondemand.animalflow.com/assets/animal-flow-on-demand-hero-video-mp4,No Series Title,Animal Flow - On Demand Hero Video.mp4,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/a04da3f9ad954778a5d032608631eaff/hls.m3u8,
no link,no link,https://ondemand.animalflow.com/assets/promo-fixed-mov,No Series Title,Animal Flow On Demand: Movement for EveryBody,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/01ec3f7f01194214b9b652079bea739a/hls.m3u8,
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-10-fallback-with-rotation,No Series Title,FCR Series Video 10 (Drills & Skills 1) Fallback with Rotation,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d57affe42d144b1e811e4ba7d3a6ff99/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-11-kneeling-fallbacks-with-taps,No Series Title,FCR Series Video 11 (Drills & Skills 1) Kneeling Fallbacks with Taps,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3d9f0c2d4da94b29935a8b0dbb285ce4/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-12-bridge-and-press,No Series Title,FCR Series Video 12 (Drills & Skills 2) Bridge and Press,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/919f5b1e70564eea83d90774fee54304/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-13-bridge,No Series Title,FCR Series Video 13 (Drills & Skills 2) Bridge,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d96f206881a14e19924a4268e40d5d8d/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-14-bridge-activations,No Series Title,FCR Series Video 14 (Drills & Skills 2) Bridge Activations,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3391e137db51495f850cc8fb17b75bb2/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-15-crab-reach-with-tap,No Series Title,FCR Series Video 15 (Drills & Skills 2) Crab Reach with Tap,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/4c30b12c4c9f484bbe0c3ebbd907817a/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-16-full-crab-reach,No Series Title,FCR Series Video 16 (Drills & Skills 2) Full Crab Reach,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ae7889fd202d4e119c303a4d5761261d/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-2-triceps-stretch,No Series Title,FCR Series Video 2 (Prep Work) Triceps Stretch,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3c26649e31164f709aa5f40dbca1c607/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-3-shoulder-clock-circles,No Series Title,FCR Series Video 3 (Prep Work) Shoulder Clock Circles,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/48ffff74bf8e4617a17623576028a111/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-4-rhomboid-reach-rotation,No Series Title,FCR Series Video 4 (Prep Work) Rhomboid Reach & Rotation,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3aaa88bb26f04a4f81d5a99847464345/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-5-wall-anchored-supermans,No Series Title,FCR Series Video 5 (Prep Work) Wall-Anchored Supermans,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/c2dabea695c84c839f3a2e262211f3c0/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-6-superman-eccentrics,No Series Title,FCR Series Video 6 (Prep Work) Superman Eccentrics,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d7e9d3a8a9fc4e94ae728bff28eec738/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-7-kneeling-arch-backs,No Series Title,FCR Series Video 7 (Drills & Skills 1) Kneeling Arch Backs,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d16363f8364948e79069b3b3c0415085/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-8-wall-lift-away,No Series Title,FCR Series Video 8 (Drills & Skills 1) Wall Lift Away,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/7b93bb087d4042e58ae098d94ede5df1/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/fcr-tutorial-9-fallback-to-tap,No Series Title,FCR Series Video 9 (Drills & Skills 1) Fallback to Tap,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/935d5e56c21741a28483970419e2b1f4/hls.m3u8,Full Crab Reach Tutorial Series
no link,no link,https://ondemand.animalflow.com/assets/flowcademy_class_1,No Series Title,Flowcademy Series 1 Class 1,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/0efd569e9f7646b8bec96cc21f591e22/hls.m3u8,FLOWCADEMY|Flowcademy Series 1
no link,no link,https://ondemand.animalflow.com/assets/s1_class_2,No Series Title,Flowcademy Series 1 Class 2,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/273d36d0a440407e9759eafaa14b31a1/hls.m3u8,FLOWCADEMY|Flowcademy Series 1
no link,no link,https://ondemand.animalflow.com/assets/s1_class_3,No Series Title,Flowcademy Series 1 Class 3,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3b6a5d2bec4d4b20af606fa7d48ab8ad/hls.m3u8,FLOWCADEMY|Flowcademy Series 1
no link,no link,https://ondemand.animalflow.com/assets/s1_class_4,No Series Title,Flowcademy Series 1 Class 4,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/4cbea7e04b234c9986787336d9536f37/hls.m3u8,FLOWCADEMY|Flowcademy Series 1
no link,no link,https://ondemand.animalflow.com/assets/flowcademy_s1_-_class_5_-_v4-1080p,No Series Title,Flowcademy Series 1 Class 5,https://d1y8hfkrra5zh9.cloudfront.net/2001/media/86b480ecda124b22bfa82deaef58da68/hls.m3u8,Flowcademy Series 1|FLOWCADEMY
no link,no link,https://ondemand.animalflow.com/assets/mike_flow_1_-_s1__-_v2-1080p,No Series Title,Flowcademy Series 1 Flow 1 (with Mike),https://d1y8hfkrra5zh9.cloudfront.net/2001/media/27c4b2b50e4041aba15967c02935a6a6/hls.m3u8,Flowcademy Series 1|Beginner Flows
