Class Title;Parent;Series;Class Description;Class Link;HLS URL;Categories
AF Deconstructed Class 1;AF Deconstructed;AF Deconstructed Classes;"<div class=""html_output""> <p>AF Deconstructed provides modifications of the standard Animal Flow movements, making them more accessible to individuals who cannot perform the regular movements for any reason, whether that be lack of mobility and strength, injury, body mass, or age.  In this 45-minute long class, Mike Fitch takes participants through a warm up,  activations, and then learning and practicing a Flow.  For each move, he'll demonstrate the regular move along with deconstructed, or regressed/modified variations, that you can perform instead.</p> <p>This can serve as a great class to start out with if you don't feel ready for the standard movements;  or this may offer the style class you want to stick with throughout your AF practice. It is up to you to decide if/when you will progress.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/af-12132021-lionsgate-day-1-class-2-v1;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d1bf02242b804f0c942c5deabcc823f0/hls.m3u8;AF DECONSTRUCTED|CLASSES|AF Deconstructed Classes
AF Deconstructed Class 2;AF Deconstructed;AF Deconstructed Classes;"<div class=""html_output""> <p>AF Deconstructed provides modifications of the standard Animal Flow movements, making them more accessible to individuals who cannot perform the regular movements for any reason, whether that be lack of mobility and strength, injury, body mass, or age.  In this 45-minute long class, Mike Fitch takes participants through a warm up,  activations, and then learning and practicing a Flow.  For each move, he'll demonstrate the regular move along with deconstructed, or regressed/modified variations, that you can perform instead.</p> <p>This can serve as a great class to start out with if you don't feel ready for the standard movements;  or this may offer the style class you want to stick with throughout your AF practice. It is up to you to decide if/when you will progress.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/af-12132021-lionsgate-day-1-class-3-v3;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/936ce3db698e4cc09711c84a81121723/hls.m3u8;AF DECONSTRUCTED|AF Deconstructed Classes|CLASSES
AF Deconstructed Class 3;AF Deconstructed;AF Deconstructed Classes;"<div class=""html_output""> <p>AF Deconstructed provides modifications of the standard Animal Flow movements, making them more accessible to individuals who cannot perform the regular movements for any reason, whether that be lack of mobility and strength, injury, body mass, or age.  In this 45-minute long class, Master Instructor Freyja Spence takes participants through a warm up,  activations, and then learning and practicing a Flow.  For each move in the Flow, Freya first teaches the movement and practices is it for timed repetitions.  The class ends with learning to put all of the movements together into a Flow.</p> <p>This can serve as a great class to start out with if you don't feel ready for the standard movements;  or this may offer the style class you want to stick with throughout your AF practice. It is up to you to decide if/when you will progress.</p> <p>Note that Deconstructed movements use the same names as their regular variations;   you would simply be choosing to perform these modified variations of the movement. This class uses the deconstructed (modified) versions of these movements:</p> <p>Underswitch Front Step Throuigh Scorpion Reach Shoulder Clock Circle (taught in class only; no separate tutorial) Crab Reach to 3-Point Bridge Bear</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/81621_lofthouse_-_freyja_class_-_v1;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/dc70373134294af3bf9a1dbce11dac8c/hls.m3u8;AF DECONSTRUCTED|AF Deconstructed Classes|CLASSES
Animal Flow - Free Sample Class (Beginner/ Entry Level);Other;No Series;"<div class=""html_output""> <p>Give Animal FlowÂ® a try, joining program creator Mike Fitch in this beginner-level sample class. Mike takes you through a 30-minute class, starting with some wrist mobilizations, and then teaching several introductory movements that you'll practice in drills and then build into a flow. Since this is a beginner class, each movement will be taught during the class, and you don't need any experience to jump in.  This is a great way to see what the program is all about!</p> <p>While this class introduces you to four of our Level 1 movements (Loaded Beast, Front Step Through, Underswitch, and Jumping Side Kickthrough), the full program includes 75 movements ranging from beginner to very advanced.</p> <p>For more classes and flows, as well as tutorials for the entire  library, try a FREE 14 day trial of our Animal Flow On Demand.  You'll find beginner, intermediate and advanced levels so you can start at your own level and progress at your own pace.  Using the app, you can work out from home, at the gym, in a park, or anywhere you want.  With absolutely no equipment necessary, all you need is your body and some open space. New content is added all the time, and you'll find a brand new Flow of the Week every Monday!</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program.</p> </div>";https://ondemand.animalflow.com/assets/sample-class-youtube-beginner;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/ae1a8dcbbaad43feb134b85f91a6597d/hls.m3u8;
Animal Flow - On Demand Hero Video.mp4;Other;No Series;None;https://ondemand.animalflow.com/assets/animal-flow-on-demand-hero-video-mp4;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/a04da3f9ad954778a5d032608631eaff/hls.m3u8;
Animal Flow On Demand: Movement for EveryBody;Other;No Series;None;https://ondemand.animalflow.com/assets/promo-fixed-mov;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/01ec3f7f01194214b9b652079bea739a/hls.m3u8;
Full Crab Reach Tutorial Series: Introduction (Video 1);Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Full Crab Reach series includes 16 videos in 3 primary movement sections:</p> <p>The Preparation Work tutorials are designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels.</p> <p>The Drills and Skills (Parts 1 and 2) tutorials are designed to be used at your own pace.  Work through the drills that you have sufficient range of motion and control for. Practice them consistently until you are proficient and confident with them before adding in the next one.</p> <p>Section 1: Preparation Work In the Preparation tutorials (Videos 2 â€“ 6), Master Instructor FrĂ©yja Spence takes you through a series of movements that focus on preparing the shoulders and spine for the demands of a Full Crab Reach. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up. For drills that are noted as stretches, hold them for 2 minutes.<br/> For drills that are to be done as repetitions, aim to complete 4-6 (per side if itâ€™s a single-sided movement), for 2 to 3 total sets.</p> <p>Section 2: Drills and Skills Part 1 In the first set of Drills and Skills tutorials (Videos 7 â€“ 11), Master Instructor FrĂ©yja Spence takes you through a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures. You can continue with these drills AFTER you have completed the preparatory movements (Videos 2-6).  You can use the 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level. For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Section 3: Drills and Skill Part 2 In the second set of Drills and Skills tutorials (Videos 12 - 16) Master Instructor FrĂ©yja Spence takes you through a series of drills that build the strength and coordination required for the Full movement. After beginning your Full Crab Reach practice with the Preparatory movements, and then continuing with a selection of drills from the previous Drills and Skills section, you can move into this last set of movements.  You can use these last 5 drills as a partial sequence (selecting the first 2 or 3) or in full (all 5) based on your current level. For the first 3 drills requiring an isometric hold of the position, hold for 10-40 seconds and repeat for 3-5 sets. Ensure you can achieve 40 seconds in each drill before moving on to introduce the last two drills. For the last two drills requiring repetitions, complete 2-6 repetitions (per side if it is a single-sided movement), for 2-5 total sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> </div>";https://ondemand.animalflow.com/assets/full-crab-reach-tutorial-1-intro;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/49c7b3ece5d5484b91e8c30d3a53773b/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 2 (Prep Work) Triceps Stretch;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Triceps Stretch (Video #2 in the Full Crab Reach series) is a drill which will help you stretch the triceps to help create greater shoulder range of motion as needed for your bridge.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of the Preparation Work section, which is designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up.</p> <p>You should practice holding the stretch for 2 minutes.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-2-triceps-stretch;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3c26649e31164f709aa5f40dbca1c607/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 3 (Prep Work) Shoulder Clock Circles;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Shoulder Clock Circles (Video #3 in the Full Crab Reach series) is an active mobility drill to help you open up and stabilize your full shoulder range of motion.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of the Preparation Work section, which is designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up.</p> <p>Aim to complete 4-6 per side for 2 to 3 total sets.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-3-shoulder-clock-circles;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/48ffff74bf8e4617a17623576028a111/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 4 (Prep Work) Rhomboid Reach & Rotation;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Rhomboid Reach &amp; Rotation (Video #4 in the Full Crab Reach series) is intended to open up the mid and upper back by flossing through your end ranges.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of the Preparation Work section, which is designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up.</p> <p>Aim to complete 4-6 per side for 2 to 3 total sets.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-4-rhomboid-reach-rotation;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3aaa88bb26f04a4f81d5a99847464345/hls.m3u8;Full Crab Reach Tutorial Series
