"tmdb","trakt","watched_at","season","episode","episode_title","show_title"
"5719508","12436623","2024-11-14T10:51:42.000Z","47","9","Nightmare Fuel","Survivor"
"170185","182122","2024-11-10T16:10:00.000Z","6","9","Murder","The Office"
"170215","182095","2024-11-10T14:09:38.000Z","5","9","The Surplus","The Office"
"5719255","12436622","2024-11-10T13:46:16.000Z","47","8","He's All That","Survivor"
"5698313","12406366","2024-11-03T13:00:03.000Z","47","7","Our Pickle on Blast","Survivor"
"4768537","10920090","2024-11-02T21:30:47.000Z","24","2","Scunthorpe, North Lincolnshire","Grand Designs"
"170138","182029","2024-11-02T20:37:23.000Z","2","7","The Client","The Office"
"5655068","12351706","2024-10-25T14:29:56.000Z","25","4","Henley 2024","Grand Designs"
"5682738","12383771","2024-10-24T12:31:59.000Z","47","6","Feel the FOMO","Survivor"
"5653961","12351616","2024-10-17T10:36:26.000Z","47","5","The Scales Be Tippin","Survivor"
"5629777","12317426","2024-10-11T19:47:11.000Z","25","2","Lincolnshire Wolds 2024","Grand Designs"
"5646158","12339156","2024-10-11T08:42:15.000Z","47","4","Is That Blood in Your Hair","Survivor"
"5594179","12273897","2024-10-09T19:29:56.000Z","25","1","East Yorkshire 2024","Grand Designs"
"5617954","12306781","2024-10-04T11:42:12.000Z","47","3","Belly of the Beast","Survivor"
"5474925","12111759","2024-09-27T09:12:55.000Z","47","2","Epic Boss Girl Move","Survivor"
"3251731","5645506","2024-09-26T10:22:04.000Z","1","2","Servants of Two Masters","Shōgun"
"2975040","5195323","2024-09-24T07:15:04.000Z","1","1","Anjin","Shōgun"
"1269411","2125097","2024-09-23T10:28:22.000Z","1","1","Something Is Different About Robbie","Evil Lives Here"
"5474922","12111755","2024-09-20T12:28:20.000Z","47","1","One Glorious and Perfect Episode","Survivor"
"","4007679","2024-06-20T20:07:52.000Z","2","10","no episode title","Corpse"
"","4007677","2024-06-19T19:55:15.000Z","2","9","no episode title","Corpse"
"","4007675","2024-06-19T19:25:38.000Z","2","8","no episode title","Corpse"
"","4007674","2024-06-15T20:03:26.000Z","2","7","no episode title","Corpse"
"1021621","1765622","2024-06-13T16:51:10.000Z","1","7","Pippi in the First Snow","Pippi Longstocking"
"1021620","1765621","2024-06-13T16:22:11.000Z","1","6","Pippi Goes to the Funfair","Pippi Longstocking"
"63122","73705","2024-06-12T19:35:26.000Z","3","2","The Truth","Seinfeld"
"","4007673","2024-06-12T19:10:33.000Z","2","6","no episode title","Corpse"
"65185","76035","2024-06-12T09:59:32.000Z","1","1","Chapter 1","House of Cards"
"1021619","1765620","2024-06-09T12:14:50.000Z","1","5","Pippi Looks for Ghosts and Is Visited by Thieves","Pippi Longstocking"
"1021619","1765620","2024-06-07T18:32:56.000Z","1","5","Pippi Looks for Ghosts and Is Visited by Thieves","Pippi Longstocking"
"1021618","1765619","2024-06-07T16:59:24.000Z","1","4","Pippi Organizes an Excursion","Pippi Longstocking"
"","4007672","2024-06-04T19:42:11.000Z","2","5","no episode title","Corpse"
"","4007671","2024-06-03T19:41:28.000Z","2","4","no episode title","Corpse"
"","4007670","2024-06-03T19:13:35.000Z","2","3","no episode title","Corpse"
"","4007669","2024-06-02T19:22:05.000Z","2","2","no episode title","Corpse"
"","4007667","2024-06-02T18:49:27.000Z","2","1","no episode title","Corpse"
"1970034","4007660","2024-06-01T05:56:49.000Z","1","2","Odpadnik","Corpse"
"1970033","4007659","2024-06-01T05:49:24.000Z","1","1","Osumljenih 5","Corpse"
"1970040","4007666","2024-05-31T20:57:42.000Z","1","8","Resnične Laži","Corpse"
"1970040","3711424","2024-05-31T20:57:42.000Z","1","8","True Lies","Corpse"
"1970039","3711422","2024-05-31T20:28:51.000Z","1","7","Texas Ranger","Corpse"
"1970039","4007665","2024-05-31T20:28:48.000Z","1","7","Mož Postave","Corpse"
"1970038","3711419","2024-05-31T20:06:37.000Z","1","6","Bad Boys","Corpse"
"1970038","4007664","2024-05-31T20:06:35.000Z","1","6","Podli Fantje","Corpse"
"1970037","3711416","2024-05-31T19:43:38.000Z","1","5","MacGyver","Corpse"
"1970037","4007663","2024-05-31T19:43:34.000Z","1","5","Magajver","Corpse"
"1970036","3711414","2024-05-30T19:57:46.000Z","1","4","CSI","Corpse"
"1970036","4007662","2024-05-30T19:57:44.000Z","1","4","Mesto Zločina","Corpse"
"1970035","3711410","2024-05-30T19:31:45.000Z","1","3","Lethal Weapon","Corpse"
"1970035","4007661","2024-05-30T19:31:43.000Z","1","3","Smrtonosno Orožje","Corpse"
"1970034","3711408","2024-05-29T20:14:33.000Z","1","2","The Renegade","Corpse"
"1970033","3711407","2024-05-29T19:43:07.000Z","1","1","Usual Suspects","Corpse"
"1021617","1765618","2024-05-29T18:10:21.000Z","1","3","Pippi Goes Shopping","Pippi Longstocking"
